obsevation_date,Sweden,Denmark
2019-07-01,-0.000663089,-0.001101856
2019-10-01,0.014731756,0.022384287
2020-01-01,-0.014556142,-0.019548132
2020-04-01,-0.081982546,-0.051925347
2020-07-01,0.048891751,0.071657634
2020-10-01,0.01695493,0.011076362
2021-01-01,0.025665286,-0.040905418
2021-04-01,0.014262495,0.075611833
2021-07-01,0.021651606,0.026822112
